"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 10 03:23:16 GMT 2023","Sat Jun 10 03:23:16 GMT 2023","48","","","","","","CheckIfAllProductsHaveImg",""
"passed","Sat Jun 10 03:23:16 GMT 2023","Sat Jun 10 03:23:16 GMT 2023","35","","","","","","Post a product",""
"passed","Sat Jun 10 03:23:16 GMT 2023","Sat Jun 10 03:23:16 GMT 2023","22","","","","","","Get all categories",""
"passed","Sat Jun 10 03:23:15 GMT 2023","Sat Jun 10 03:23:16 GMT 2023","703","","","","","","Login",""
